binary,OS,OS_sig,SNR,abs_SNR,h_0,residual_amplitude_us,frequency_nHz,chirp_mass_Msun,distance_Mpc,ra_deg,dec_deg,mean_rho,std_rho,pos_corr,neg_corr,min_psr_separation_deg,mean_psr_separation_deg,success,index,pre_rank,final_rank
"{'Mc': np.float64(5.177437897991236e+40), 'f': np.float64(1.755584697781888e-09), 'D': np.float64(14326.287610206788), 'ra': np.float64(1.9930299521507644), 'dec': np.float64(0.619718172560317), 'psi': np.float64(0.5145078199161394), 'iota': np.float64(0.5466723863264151), 'phi0': np.float64(5.724462724041378)}",2.4678050788019945e-32,2.030042991333587e-30,0.012156417816456341,0.012156417816456341,1.3809515741284596e-15,0.1251920624910711,1.755584697781888,26037294492.706635,14326.287610206788,114.1922047013992,35.50723577526623,-4.5385784455296696e-34,1.595679224577358e-31,1121,1090,20.790346951902997,139.49406416597432,True,904,32,13
"{'Mc': np.float64(7.530916103908657e+40), 'f': np.float64(1.1797941738867574e-09), 'D': np.float64(7717.978961412674), 'ra': np.float64(0.35079068523871443), 'dec': np.float64(-0.4442194142578855), 'psi': np.float64(1.2689449071968104), 'iota': np.float64(0.9665528921407338), 'phi0': np.float64(3.8001044911671604)}",2.2340537021608563e-32,2.030042991333587e-30,0.011004957588081666,0.011004957588081666,3.672425691104342e-15,0.49541243279018576,1.1797941738867574,37872917891.185974,7717.978961412674,20.098825756680444,-25.451897614750386,2.161180733345274e-33,6.822873175198088e-31,1138,1073,32.783191922468724,216.49492887005633,True,556,9,14
"{'Mc': np.float64(5.214933490590863e+40), 'f': np.float64(1.1754081993949718e-09), 'D': np.float64(11578.987728860171), 'ra': np.float64(5.373019901051749), 'dec': np.float64(1.149433606953727), 'psi': np.float64(0.054900297563759824), 'iota': np.float64(2.2179872034036334), 'phi0': np.float64(4.062596421085775)}",1.3330572019065677e-32,2.030042991333587e-30,0.006566645177454338,0.006566645177454338,1.3234552677412174e-15,0.17920110471446796,1.1754081993949719,26225859533.163,11578.987728860171,307.8513635700644,65.85769450894767,1.1925437520493891e-33,8.089827061390268e-32,1115,1096,33.513735336171045,117.85341716812673,True,1619,38,15
"{'Mc': np.float64(4.25839056083817e+40), 'f': np.float64(2.9287847468815173e-09), 'D': np.float64(7169.837271650357), 'ra': np.float64(5.72049283767697), 'dec': np.float64(0.8810401065595513), 'psi': np.float64(2.4440083376669097), 'iota': np.float64(2.3072442038447534), 'phi0': np.float64(2.337938904282394)}",1.1800063121541481e-32,2.030042991333587e-30,0.005812715874450382,0.005812715874450382,2.802405099934798e-15,0.1522872668179064,2.9287847468815174,21415412658.165173,7169.837271650357,327.76009633370626,50.479879687618606,9.35499576812601e-34,2.046228344852754e-31,1106,1105,18.842061694512495,119.52781200052989,True,135,15,16
"{'Mc': np.float64(3.8207791002051095e+40), 'f': np.float64(1.5310627719290317e-09), 'D': np.float64(9339.22520999245), 'ra': np.float64(0.9242535205050586), 'dec': np.float64(0.44445511716651853), 'psi': np.float64(1.7775458504975135), 'iota': np.float64(2.2387266074014516), 'phi0': np.float64(2.295199215538967)}",1.1204993144242036e-32,2.030042991333587e-30,0.005519584162540908,0.005519584162540908,1.165316221645586e-15,0.1211353579620983,1.5310627719290317,19214668062.405315,9339.22520999245,52.95582592504795,25.465402396634016,-8.524058074911628e-35,6.814264108911742e-32,1120,1091,10.116270633086689,183.7849372025421,True,1156,44,17
"{'Mc': np.float64(6.285982899025612e+40), 'f': np.float64(1.1129064018756063e-09), 'D': np.float64(15134.561663685268), 'ra': np.float64(3.787827588471464), 'dec': np.float64(-0.4954754814973747), 'psi': np.float64(0.045914834465951807), 'iota': np.float64(2.2880409059186784), 'phi0': np.float64(3.200511418271894)}",1.0408438293829345e-32,2.030042991333587e-30,0.005127200920504534,0.005127200920504534,1.3328992755979494e-15,0.19061576786466503,1.1129064018756063,31612158589.395927,15134.561663685268,217.02653434263132,-28.38865394201188,1.9404296813559487e-34,5.710982559067585e-32,1149,1062,8.613390414096163,93.51280429588219,True,1167,37,18
"{'Mc': np.float64(4.270246432327418e+40), 'f': np.float64(1.2385812528540238e-09), 'D': np.float64(9704.033142841661), 'ra': np.float64(3.0937413605964337), 'dec': np.float64(1.2030881984542792), 'psi': np.float64(2.0296724932274874), 'iota': np.float64(1.1838784533016928), 'phi0': np.float64(1.1066799883301088)}",8.55758796119757e-33,2.030042991333587e-30,0.004215471296780702,0.004215471296780702,1.1719930993575444e-15,0.1505985130991869,1.2385812528540239,21475035742.69372,9704.033142841661,177.2583228672366,68.93187615342781,2.1867122196380376e-33,8.755839503064431e-32,1133,1078,11.022362843408601,121.39152023961273,True,768,43,19
"{'Mc': np.float64(3.908405526383699e+40), 'f': np.float64(1.1652754403147586e-09), 'D': np.float64(9624.710591544881), 'ra': np.float64(1.6488744839801077), 'dec': np.float64(1.2365338688516598), 'psi': np.float64(3.055672376932854), 'iota': np.float64(2.397212316990577), 'phi0': np.float64(6.159326984994312)}",8.425180482291903e-33,2.030042991333587e-30,0.0041502473190270645,0.0041502473190270645,9.788966461814744e-16,0.13369906772752102,1.1652754403147587,19655340670.886154,9624.710591544881,94.47354887887164,70.84817191018335,3.507358541574184e-33,7.484981138867966e-32,1130,1081,19.891431390687135,164.50898295274362,True,1160,50,20
"{'Mc': np.float64(4.777156263432471e+40), 'f': np.float64(2.052231759249237e-09), 'D': np.float64(11145.548913832257), 'ra': np.float64(2.0585228389486026), 'dec': np.float64(0.9249457600475997), 'psi': np.float64(0.3255076491597361), 'iota': np.float64(3.0179181188728483), 'phi0': np.float64(1.3361144881656828)}",7.95174365573193e-33,2.030042991333587e-30,0.003917032146451355,0.003917032146451355,1.7225479228906235e-15,0.13358725953106393,2.0522317592492367,24024281298.850227,11145.548913832257,117.9446707030434,52.99548832924762,4.415672972903157e-33,2.0679824211511213e-31,1129,1082,13.628294918027525,142.2410933670472,True,1430,25,21
"{'Mc': np.float64(4.1059889503993936e+40), 'f': np.float64(1.172950968686989e-09), 'D': np.float64(5184.97956189754), 'ra': np.float64(0.5821524359437724), 'dec': np.float64(-1.184091833569346), 'psi': np.float64(1.4862311038638527), 'iota': np.float64(2.887749676523919), 'phi0': np.float64(2.7719944541537513)}",6.45823014627881e-33,2.030042991333587e-30,0.0031813267865998416,0.0031813267865998416,1.9814140759043774e-15,0.26885339021890153,1.172950968686989,20648986157.193188,5184.97956189754,33.354877612838166,-67.84346461943062,1.2815268491246635e-33,1.0480476635749103e-31,1092,1119,41.43951722894076,217.85523950010955,True,642,23,22
