==============================================================
  SNR Outlier Report
  Generated  : Thursday 30 April 2026  15:07:48
  Log dir    : /fred/oz005/users/bhoulden/SMBHB_population_injections/logs/28-29_04_26_400_sims_logs
  Scanned    : 1224   Range: [3.5, 4.25]
==============================================================

  OUTSIDE RANGE  (165 file(s)):

  Filename                                          Mean SNR  Flag
  -----------------------------------------------------------------
  smbhb_realistic_11736924.out                        3.2856  [LOW]
  smbhb_realistic_11736932.out                        4.3784  [HIGH]
  smbhb_realistic_11736935.out                        5.3036  [HIGH]
  smbhb_realistic_11736948.out                        4.2522  [HIGH]
  smbhb_realistic_11736974.out                        4.8544  [HIGH]
  smbhb_realistic_11737208.out                        3.4771  [LOW]
  smbhb_realistic_11737225.out                        4.9092  [HIGH]
  smbhb_realistic_11737329.out                        4.7502  [HIGH]
  smbhb_realistic_11737332.out                        3.2131  [LOW]
  smbhb_realistic_11737343.out                        0.7820  [LOW]
  smbhb_realistic_11737427.out                        4.5148  [HIGH]
  smbhb_realistic_11737538.out                        1.4315  [LOW]
  smbhb_realistic_11738349.out                        3.1891  [LOW]
  smbhb_realistic_11738894.out                        4.3972  [HIGH]
  smbhb_realistic_11738911.out                        4.8880  [HIGH]
  smbhb_realistic_11738921.out                        4.3856  [HIGH]
  smbhb_realistic_11738922.out                        4.4191  [HIGH]
  smbhb_realistic_11739022.out                        4.8602  [HIGH]
  smbhb_realistic_11739038.out                        2.9868  [LOW]
  smbhb_realistic_11739046.out                        5.1149  [HIGH]
  smbhb_realistic_11739263.out                        2.9717  [LOW]
  smbhb_realistic_11739470.out                        3.1916  [LOW]

  SNR BLOCK NOT FOUND in 18 file(s):
    smbhb_optimistic_11717517.out
    smbhb_pessimistic_11717866.out
    smbhb_pessimistic_11718227.out
    smbhb_pessimistic_11730534.out
    smbhb_pessimistic_11730737.out
    smbhb_pessimistic_11730738.out
    smbhb_pessimistic_11735422.out
    smbhb_pessimistic_11736898.out
    smbhb_pessimistic_11740959.out
    smbhb_realistic_11717946.out
    smbhb_realistic_11728657.out
    smbhb_realistic_11728667.out
    smbhb_realistic_11728679.out
    smbhb_realistic_11728690.out
    smbhb_realistic_11728699.out
    smbhb_realistic_11728715.out
    smbhb_realistic_11737207.out
    smbhb_realistic_11739268.out

  Summary: 1041 in-range | 165 outlier(s) | 18 no-SNR | 1224 total
==============================================================
