binary,OS,OS_sig,SNR,abs_SNR,h_0,residual_amplitude_us,frequency_nHz,chirp_mass_Msun,distance_Mpc,ra_deg,dec_deg,mean_rho,std_rho,pos_corr,neg_corr,success,index,rank,final_rank
"{'Mc': np.float64(4.2687569131069006e+40), 'f': np.float64(1.38324816710014e-09), 'D': np.float64(3276.5661425523454), 'ra': np.float64(2.9715283447403906), 'dec': np.float64(0.15542543576109014), 'psi': np.float64(0.7883095509969034), 'iota': np.float64(0.8804539577591367), 'phi0': np.float64(0.8083148324159911)}",7.285212595111681e-32,2.030042991333587e-30,0.035886986759456944,0.035886986759456944,3.73413140606616e-15,0.42964486457699685,1.38324816710014,21467544962.24183,3276.5661425523454,170.2560328571199,8.90522149809216,5.6080251393993226e-33,8.010136325740953e-31,1120,1091,True,38,15,11
"{'Mc': np.float64(6.576233207880448e+40), 'f': np.float64(1.4897922558641594e-09), 'D': np.float64(10127.643584450394), 'ra': np.float64(3.0666124850562237), 'dec': np.float64(-0.029938401294193354), 'psi': np.float64(0.4807547320623174), 'iota': np.float64(0.018058922514167425), 'phi0': np.float64(2.5598452975471075)}",-6.337051715072001e-32,2.030042991333587e-30,-0.031216342422920956,0.031216342422920956,2.6084158806634796e-15,0.27865783260243043,1.4897922558641594,33071825111.168125,10127.643584450394,175.70395279584685,-1.715344039526281,8.788579839458142e-33,2.611919866612499e-31,1093,1118,True,642,20,12
"{'Mc': np.float64(6.751033028543327e+40), 'f': np.float64(1.1960495484129697e-09), 'D': np.float64(4004.818381851268), 'ra': np.float64(5.5358080367517255), 'dec': np.float64(-1.083287527025878), 'psi': np.float64(2.0747045775003317), 'iota': np.float64(1.7942949842369182), 'phi0': np.float64(6.033197436381389)}",6.161470932020372e-32,2.030042991333587e-30,0.030351430774245545,0.030351430774245545,5.952596388497364e-15,0.7920952277582469,1.1960495484129696,33950892035.300137,4004.818381851268,317.17843670047597,-62.06780329774691,2.7759479129078227e-32,6.932881874205919e-31,1112,1099,True,1678,8,13
"{'Mc': np.float64(4.771718581662186e+40), 'f': np.float64(1.8384374813342447e-09), 'D': np.float64(3951.4008174541036), 'ra': np.float64(0.5656949728185291), 'dec': np.float64(0.3378262278131335), 'psi': np.float64(2.1913742709151487), 'iota': np.float64(3.126189730122181), 'phi0': np.float64(3.6802692035001354)}",-5.505974842736385e-32,2.030042991333587e-30,-0.0271224543826994,0.0271224543826994,4.5065648281134805e-15,0.3901367743208761,1.8384374813342446,23996935239.969353,3951.4008174541036,32.41193443426954,19.356017062517616,1.8029661211356164e-32,1.3231609654420597e-30,1100,1111,True,1412,11,14
"{'Mc': np.float64(6.090751610313297e+40), 'f': np.float64(1.8079444275671015e-09), 'D': np.float64(8494.576410925407), 'ra': np.float64(4.104393328973315), 'dec': np.float64(-0.7918193322565138), 'psi': np.float64(0.9814815319503518), 'iota': np.float64(1.372972500166983), 'phi0': np.float64(6.052843981139744)}",5.040200526567858e-32,2.030042991333587e-30,0.024828048214175117,0.024828048214175117,3.113669877921439e-15,0.274099106516449,1.8079444275671015,30630341973.04107,8494.576410925407,235.16441521182102,-45.367905875165285,1.417819246162885e-32,6.301258855402069e-31,1095,1116,True,1338,17,15
"{'Mc': np.float64(5.83589262458426e+40), 'f': np.float64(1.4538659717299369e-09), 'D': np.float64(13125.024762812116), 'ra': np.float64(1.8690571829146188), 'dec': np.float64(-0.21819048290482065), 'psi': np.float64(2.3030055880729843), 'iota': np.float64(2.6582967697869653), 'phi0': np.float64(3.697265659910011)}",-4.61087954882009e-32,2.030042991333587e-30,-0.022713211338401686,0.022713211338401686,1.6228100833980085e-15,0.17764928232335056,1.453865971729937,29348658137.081577,13125.024762812116,107.08908824961877,-12.501393800367563,3.341882712804084e-33,2.171698459195542e-31,1089,1122,True,1772,45,16
"{'Mc': np.float64(5.240254490977912e+40), 'f': np.float64(1.6261405627392334e-09), 'D': np.float64(8439.091357844196), 'ra': np.float64(4.559425120262082), 'dec': np.float64(1.3592624717522825), 'psi': np.float64(0.11745469533326446), 'iota': np.float64(2.75085205570855), 'phi0': np.float64(2.3331629193794656)}",4.3184639383074687e-32,2.030042991333587e-30,0.02127277085629876,0.02127277085629876,2.2728446809442563e-15,0.22244969109131532,1.6261405627392334,26353198645.078434,8439.091357844196,261.2358163969451,77.88000288192607,9.276268085232842e-33,2.396187450587566e-31,1144,1067,True,466,26,17
"{'Mc': np.float64(6.872601923522523e+40), 'f': np.float64(1.6546504105465724e-09), 'D': np.float64(12812.539158520207), 'ra': np.float64(2.161390702889007), 'dec': np.float64(-0.047187968712897155), 'psi': np.float64(2.4519428036386413), 'iota': np.float64(1.5329232056401656), 'phi0': np.float64(4.499759404303973)}",4.104589940850214e-32,2.030042991333587e-30,0.02021922667831682,0.02021922667831682,2.3798177758123785e-15,0.22890621503147981,1.6546504105465725,34562261052.58074,12812.539158520207,123.83856515435457,-2.7036714510443822,7.505903882637822e-33,4.33013510114692e-31,1121,1090,True,1584,24,18
"{'Mc': np.float64(4.265414941833647e+40), 'f': np.float64(1.7768986124271234e-09), 'D': np.float64(6805.876027909574), 'ra': np.float64(0.06469406527848873), 'dec': np.float64(0.22716588970808857), 'psi': np.float64(0.9937833081742399), 'iota': np.float64(1.704221473529651), 'phi0': np.float64(1.8155001100669812)}",-3.9372451001488824e-32,2.030042991333587e-30,-0.01939488531502678,0.01939488531502678,2.1216120244442927e-15,0.19003056148053638,1.7768986124271233,21450738214.97758,6805.876027909574,3.7066969000012446,13.01564672960782,7.807335447172985e-33,2.1159423953374233e-31,1089,1122,True,837,30,19
"{'Mc': np.float64(4.817898634715461e+40), 'f': np.float64(2.7849027006952736e-09), 'D': np.float64(3768.9011333589783), 'ra': np.float64(6.260489899439482), 'dec': np.float64(-0.19388825508752883), 'psi': np.float64(1.147868544013545), 'iota': np.float64(1.193608444179226), 'phi0': np.float64(0.12269441728557481)}",-3.54400917356179e-32,2.030042991333587e-30,-0.01745780354746891,0.01745780354746891,6.332776048916448e-15,0.36191304329138196,2.7849027006952736,24229174363.78452,3768.9011333589783,358.6996489221635,-11.108978713671313,3.3050713084671155e-33,1.06712106514782e-30,1111,1100,True,797,6,20
